10936	neutral	Yes i am going from school have class till 5 can u meet me at law fac i have to fetch my mum at 930 pm so we have quite a lot of time
11051	neutral	can u tape the match for me?  i\u2019ll rush over straight after the dinner
10966	neutral	Too many people at my house my relatives are here as well besides the china people
11211	negative	Yea I have spoken to him liao. Indeed he is upset over dat..
11350	positive	Haha... I want to see. E macdonalds here cheaper. Yum yum.
10539	neutral	I\u2019m going down now liao\u002c with my fren... Erm... got 64mb one? 94 is the cheapest around liao is it? y not i later go around find some more?
10544	neutral	Ya\u002c ok for me... Erm can let me know the details like the level\u002c timing for tuition\u002c per wk how many times\u002c pay wise n location? btw\u002c the student is ur?
11463	negative	He told u i\u2019m considering liao mah. I duno\u002c i not v interested in e show n i dont wan go out on both weekend. Sunday we meeting 4 lunch w e rest right.Ok we meet 5 orchard shop shop eat dinner. Most prob i b at John Little at 4.30.
11062	positive	Will you be free on sunday night? I just met sebastian. We suggest a small class gathering at the studio. Play cards...gamble a bit.... Chit chat.... Blah Blah... Hope you guys can make it.
11035	neutral	tom\u002c u think it is a relative\u2019s house or restauratn?
11056	neutral	hey jules\u002c will u be free for soccer on sunday?  bishan braddel
12029	negative	Eh sorry leh... I din c ur msg. Not sad already lar. Me watching tv now. U still in office?
11701	neutral	Hmmm\u002c my fren told me... I dunno wat\u2019s e plan... Wat time is ur tuition...
10831	neutral	Dear sis\u002cpls pray4my spritual life\u002ci feel its getg more dry\u002ci bcom more self-centred instead of christ-centred\u002cdaily life\u2019s vv messy...
11935	neutral	Then u drive lor.
11534	negative	Nothing but v weird lor. Got another guy can sit w us then he go squeeze w other table. Cant wait till he do something then i react mah... Must stop him first.
11540	positive	Then u get ur most intimate photo w him then put my face on urs then send 2 me... :D
11860	neutral	I tot it\u2019s my group mate... Lucky i havent reply... Wat time do Ã¼ need to leave...
10667	neutral	yo school starts must meet for lunch k?
10023	neutral	i meet u at the sci canteen after my tutorial at 1pm k??
12003	neutral	I\u2019ve reached home n i bathe liao... U can call me now...
11133	negative	I\u2019ve just got back. So sorry I forgot my promise to u. What about talking tomorrow?
10039	neutral	Fine w me.But fri we go\u002c they say is a long queue thats why we didnt go... U need e flash book? If u wan\u002c remind me tonight then i bring tomw
11276	positive	Glad to hear you are coping fine in uni... So\u002c wat interview did you go to? How did it go?
10527	neutral	Erm...... the fuji one is xD one if i din remember wrongly... you got any lobang?
11504	neutral	Maybe ard 6. Think i stop wk at 5 then go down should be around 6 liao lor..
10816	positive	Hee hee... <*\u2019-\u2019*> thanks thanks... Hope it\u2019s all relevant... Take c??re and see you on Sunday! c\""\u002c)
11457	negative	Why sad. I mean wat he tell u? He got grumble abt me hee... I busy lah\u002c but wanted 2 buy wk clothes but now go out w him i also cant shop.
11909	neutral	Ã give me some time to walk there.
11536	neutral	Today lunch\u002c e whole team eat together at e coffee shop\u002c then we split 3 tables\u002c end me n him only at 1 table. C now i hv 2 keep myself occupy by msg u.
10903	negative	Sorry I think tonight cannot\u002c and I not feeling well after my rest.
11289	neutral	Yup bringing clothes... Bring light one lor... Yar wearing shorts...
11264	neutral	Hey... Xuhui cant make it today... So how? Shall we change day or continue
11126	neutral	actually i tink chunyan canot cfm wad time to go cos she gotta hand in assgt sat afternoon. btw wad areu gonna do so early in orchard?
11757	neutral	Hey... I\u2019ll go to e lect w suying first k... We\u2019ll go and book seats... I dun have lab oredi...
10372	positive	haha.. try some more
11479	neutral	Me n ron meeting 2 go buy something. U wan join us?
10418	positive	Not bad\u002cbeen slacking and doing lotsa sleeping...hee..how bout you? Oh anyway\u002c wanna go blading together some day girl?
11767	negative	Ya... Eng exam on e 14 lor... But eng dun really have to prepare lor... I wan to get earlier date but so fast no more slots\u002c so horrible...
11891	neutral	I wanted to ask Ã¼ to wait 4 me to finish lect. Cos my lect finishes in an hour anyway.
10477	neutral	I m in singapore on my way to far east buy the thing loh.
11521	neutral	Oh ok. Got check e price? Wat its like?
10690	neutral	You having dinner with parents? wanna go parkway for dinner?
12103	negative	Huh but i cant go 2 ur house empty handed right?
11644	negative	Ya... She wans... But now so late dunno still can arrange 4 tmr anot...
11280	negative	Albero purchased P $260k Ng T H from B90 drop to B74 Fri carry 52.5. 1 whole yrs can not win. wet ever won 1600. hoping newspaper do not rec
11207	neutral	Eh hon wai here. Take note of my number u lout
10977	neutral	Hey meet me at law fac about 5 can
11164	positive	I have received it. thanks!
10552	positive	I want 2 eat you tiao & dou hua. Aiya\u002c cannot come Geylang must eat spicy Muslim stuff? Curry\u002c otak\u002c yum yum? Geylang sepak tu Geylang? I love Geylang?
10143	negative	I\u2019m leaving on an SIA plane... Dunno when I\u2019ll be back again. Damn sad. Will miss all of you. Cheers and take care! I\u2019ll find you when I\u2019m back.
11885	negative	Bishan lar nearer... No need buy so early cos if buy now i gotta park my car...
10070	neutral	xuan can help me buy eggs and orange juice?
11709	neutral	Hey fen ah... So when u free to meet up leh?
12096	neutral	R u still working now?
10320	positive	well... sounds fine... i have not watch a movie for some time now... time to catch a break
10659	positive	thanx for the discs... very happy!
10737	neutral	den i must be the onli one flooding your with smses...
11910	neutral	Ã all write or wat..
11152	negative	but some of our friends are not uni students so they\u2019ll have to pay
10779	positive	yeah i think it\u2019s a good idea. so i see ya tml
11134	neutral	I kept on trying to use the card.. that\u2019s why it took me so long to reply. Jie jie
10165	neutral	like kent ridge ppl told me many ppl   apply it. but i also  got one that time
11853	positive	Wah lucky man... Then can save money... Hee...
11103	negative	You eaten? I am so hungry. But meeting now... And my acne got worse
12182	positive	I hope just now didnt give u a huge shock. Very happy dat u give me a chance... Have an early nite.. :-)
11345	neutral	So wat time u coming to school?
11403	neutral	Ã wan to cycle...
11883	neutral	Wat uniform? In where get?
10377	positive	The song\u2019s not bad
10301	negative	r u crazy? u canot cheat until like tat wat?!
11642	neutral	Hmmm... Okie...i\u2019m handin in e forms too...so after our test den we go and meet em lor...
11638	positive	Hmmm...Cant meet early... So i\u2019ll juz cya at three.... :)
11943	positive	Yup no more already... Thanx 4 printing n handing it up.
11077	neutral	No. I\u2019m using my brunei line. Going to but my singtel line. Was suppose to terminate the day i left but dunno why till now not yet
11410	neutral	Yup i driving in. Its 2 bucks a person n per car. I have bk a hotel rm at rasa sentosa
11446	positive	Yup...She must be so happy now..Ã
10031	neutral	Yup we planning for a bbq ... But still waiting for other to confirm ...
12031	neutral	I got to video tape pple type in message lor. U so free wan 2 help me? Hee... Cos i noe u wan 2 watch infernal affairs so ask u along. Asking shuhui oso.
10681	positive	hi\u002c how is your mother and the operation\u002c hope all is well. pls send my regards
11998	neutral	Nope wif my sis lor... Aft bathing my dog then i can bathe... Looks like it\u2019s going 2 rain soon.
11412	neutral	I be there ard 1230. Ryan\u002cron n shuhui haven told me their time
10293	neutral	Yeah! Onz ah... Later i most prob go buy tic if i can... Else might get someone to book online... Cya... ?
11785	neutral	Jos ask if u wana meet up?
12143	neutral	Who says i\u2019m sleeping on ur king size bed... Reach home already?
11069	neutral	How heavy is my stuff
12102	negative	Sorry i now then c ur msg... Yar lor so poor thing... But only 4 one night... Tmr u\u2019ll have a brand new room 2 sleep in...
10340	positive	must say thanks to my fren who had recommended this show to me
12134	neutral	Wow they really can buy...
10450	neutral	Morning\u002c I am in bus still sleeping?
12015	neutral	Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.
12004	neutral	Yup i\u2019m still having coffee wif my frens... My fren drove she\u2019ll give me a lift...
10804	positive	:-j hee... Looks like must go improve Chinese... :-j jia you for this! :->
10789	neutral	up 2 u loh...u wanna play in sch also can...i can book court 4 us...
10114	negative	cannot . i dont have it with me now
11514	negative	Better not lah\u002c he not my bf\u002c cant use him like t. Haha\u002c i forget abt yest already. Why\u002c anything special t got 2 tell me?? U all not meeting today?
11128	negative	B4 I answer that\u002c I can\u2019t remember where I\u2019ve met u before. Care to refresh my memory? Sorry\u002c I have short term memory.
10174	negative	I come le someone seating beside me is too dirty :(
10905	positive	God may bless you with all the happiness
11861	negative	I\u2019m stuck in da middle of da row on da right hand side of da lt...
10402	positive	hi kate\u002c cant get u. can u call or sms me to tell me if u r still meeting me at plaza sing. Thanks
11612	negative	No particular reason lor\u002c anyway tt day got somethin on\u002c dun wan to rush abt oso...
11621	negative	Oh... Okie\u002c u din tell me it\u2019s ur bd... Ya\u002c i went out w her but i only realized on e day itself lor\u002c felt bad abt it...
11838	positive	Haha... dont be angry with yourself... Take it as a practice for the real thing. =)
11377	neutral	Just settle down after they come back from airport... Bought lot of things... One trolley there den 3 trolleys back...
10766	neutral	eileen said maybe we mit up n go buy 2gether
11611	neutral	Hmmm... I\u2019ll b free at 3... Meet at tis time? So we goin 4 dinner or wat....
12008	negative	U dun say so early hor... U c already then say...
12006	negative	Anyway i\u2019m going shopping on my own now. Cos my sis not done yet. Dun disturb u liao.
10347	neutral	xy:Need 2 buy clothes 4 my cousin wedding this sunday lah... haiz...
12150	neutral	Ericsson T610... Haha u decide to get one too?
11839	positive	Haha... Hope Ã¼ can hear the receipt sound... Gd luck!
11383	neutral	Wat time u want me to come over?
10641	neutral	Hey\u002c are in interested in IFG bowling?
10370	neutral	Dunno leh.. What you think?
12012	neutral	What time is ur flight tmr?
11167	negative	Not interested in the security job.
12131	neutral	Yup ok... I noe\u002c surprised u still remember... U sleep early too...
12141	negative	A bigger size bed doesn\u2019t mean it wont break.
11389	neutral	Still going to east coast?
10244	positive	I may not b e perfect fren u r looking 4\u002c not even the best among em all but surely i\u2019m a fren who cares. Good nite
12128	negative	U cant pressure me\u002c i\u2019ll make u fat hee... OK lar i dun say anything let my dad cook as much as he likes.
10883	positive	take care
11788	neutral	Hey so this sat are we going for the intro pilates only? Or the kickboxing too?
11878	negative	Got c... I lazy to type... I forgot Ã¼ in lect... I saw a pouch but like not v nice...
10238	neutral	Ok show end liao... Bedtime! Faster go slp\u002c u have to wake up early tml! Morn call at 7.55 ok?
11997	neutral	My house here e sky quite dark liao... If raining then got excuse not 2 run already rite... Hee...
10668	neutral	by e way\u002c sat wat time n whr?
11923	neutral	I thk 50 shd be ok he said plus minus 10.. Did Ã¼ leave a line in between paragraphs?
11976	neutral	Watch lor. I saw a few swatch one i thk quite ok. Ard 116 but i need 2nd opinion leh...
